"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :14th October 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"බසර ොහිර පලොත
Nky; khfhzk;
Western",1,"කළුතර fSj;Jiw
Kalutara",Millaniya,Heavy Rain/High Wind,2024.10.08-11,390,1232,1,,,,,,,,,,
,,,Bandaragama,Flood,2024.10.08,117,542,,,,,2,,,,,,
,,,Horana,Flash Flood,2024.10.08-11,20,65,,,,,1,,,,,,
,,,Mathugama,"Cutting Failure/High
Wind",,114,416,,,,,1,,,,,,
,,,Beruwala,Heavy Rain/High Wind,,6,33,,,,,5,,,,,,
,,,Agalawatta,"Cutting Failure/High
Wind/Lightning",2024.10.10/11,18,69,,,,,4,,,,,,
,,,Walallavita,Flood,2024.10.11,18,66,,,,,2,,,,,,
,,,Madurawala,Heavy Rain/High Wind,,19,74,,,,,1,,,,,,
,,,Dodangoda,Flood,2024.10.12,23,73,,,,,,,,,,,
,,,Kalutara,High Wind,2024.10.07-11,270,1027,,,,,1,,,,,,
,,,Bulathsighala,Flood,2024.10.12,6,26,,,,,,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1001,3623,1,0,0,0,17,0,0,0,0,0,
,2,"ගම්පහ
fk;g`h Gampaha",Dompe,,2024.10.11,583,1957,,,,,5,11,,7,350,1124,
,,,Attanagalla,,,900,3799,,,,,7,,,,,,
,,,Minuwangoda,,,400,1551,,,,,3,,,,,,
,,,Merigama,High Wind,2024.10.10,,,,,,,3,,,,,,
,,,Biyagama,High Wind,2024.10.08,2879,11717,,,,,10,,,4,44,182,
,,,Divulapitiya,Flood,2024.10.11,,,,,,,3,,,,,,
,,,Wattala,Flood,,7120,29166,,,,,,,,2,18,65,
,,,Mahara,Flood,,157,614,,,,,3,,,,,,
,,,Kelaniya,,,2557,11747,,,,,,,,2,6,17,
,,,Katana,,,1574,5530,,,,,,,,,,,
,,,Ja-Ela,,,1978,7311,,,,,3,,,3,28,90,
,,,Gampaha,,,2405,9447,,,,,4,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,20553,82839,0,0,0,0,41,11,0,18,446,1478,
,3,"නකොළඹ
nfhOk;G Colombo",Kesbewa,Flash Flood,2024.10.11,10,49,,,,,1,,,,,,
,,,Seetawaka,Flood,,665,2435,,,,,3,,,19,560,2100,
,,,Kolonnawa,Flood,,6822,25698,1,,,1,1,,,7,171,721,
,,,Tibirigasyaya,Flood,,460,1624,,,,,1,,,1,13,53,
,,,Homagama,Flood,,428,1679,,,,,9,3,,3,8,24,
,,,Kaduwela,Drowing,2024.10.10,1472,5056,1,,,,1,,,17,291,1152,
,,,Jayawardhanapura,Flood,2024.10.11,152,517,,,,,,,,,,,
,,,Padukka,Flood,2024.10.11,71,235,,,,,1,,,1,1,10,
,,,Colombo,,,834,2938,,,,,,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,10914,40231,2,0,0,1,17,3,0,48,1044,4060,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,32468,126693,3,0,0,1,75,14,0,66,1490,5538,
