River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,2.20,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.23,3.18,Normal,,1.9,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.13,11.09,Normal,,0.0,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.75,Normal,,0.0,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.96,0.95,Normal,,2.5,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.02,1.02,Normal,,0.0,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.88,Normal,,0.0,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.85,0.80,Normal,,0.0,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.11,6.12,Normal,,0.0,,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.26,2.27,Normal,,27,,.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.20,2.09,Normal,,0.9,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.32,3.24,Normal,,0.0,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.09,1.97,Normal,,44.1,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.48,2.48,Normal,,4.5,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.21,1.21,Normal,,,10.6,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.10,5.04,Alert,Falling,33.8,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.44,1.40,Normal,,,10.8,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.76,0.75,Normal,,49.5,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.88,0.85,Normal,,0.0,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.04,1.01,Normal,,0.0,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.79,0.79,Normal,,0.0,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.77,1.75,Normal,,6.8,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.02,0.04,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.40,1.38,Normal,,3.0,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.80,0.88,Normal,,0.9,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.58,0.58,Normal,,0.0,,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.06,-0.14,Normal,,0.0,,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.08,1.00,Normal,,0.0,,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.28,-2.32,Normal,,0.0,,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.09,3.21,Normal,,0.0,,,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.43,1.42,Normal,,0.0,,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.69,0.68,Normal,,0.0,,,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,1.00,1.00,Normal,,0.0,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.11,2.11,Normal,,6.8,,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.35,0.35,Normal,,0.0,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.67,1.66,Normal,,0.0,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.05,0.05,Normal,,0.0,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.55,1.52,Normal,,0.0,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.42,3.39,Normal,,0.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.24,2.20,Normal,,0.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.86,1.84,Normal,,0.0,,,,
