ප්‍රධාන්‍ න්‍ගර සදහා ාාගුණ නන්‍ාැැිය දි න්‍ ය : 2 0 2 2 - 0 1-19,,,,,
න්‍ගරය,උෂ් ත්ැය(ෙස. නංශ්‍ා),,සාෙේක්ෂ ආර්ද්‍රතාැය()),,ාාගුණ ය
,උපරිම,නැම,උපරිම,නැම,
අනුරා‍පුරය,32,22,90,65,ප්‍ර‍ාන වශහයන් වැසි රහිත
මඩේලපුව,30,22,90,75,ප්‍ර‍ාන වශහයන් වැසි රහිත
හේාළඹ,33,23,85,50,ප්‍ර‍ාන වශහයන් වැසි රහිත
ොේල,30,24,90,70,සවස 4.00න් පවව වැසි හ ෝ ගිගුරුම් සහිත වැසි ිවේ විය ැේ
යාපනය,30,21,95,65,ප්‍ර‍ාන වශහයන් වැසි රහිත
ම නුවර,31,18,95,50,සවස 2.00න් පවව වැසි හ ෝ ගිගුරුම් සහිත වැසි ිවේ විය ැේ
නුවරඑළිය,20,9,95,65,සවස 2.00න් පවව වැසි හ ෝ ගිගුරුම් සහිත වැසි ිවේ විය ැේ
රත්නපුරය,34,22,95,55,සවස 2.00න් පවව වැසි හ ෝ ගිගුරුම් සහිත වැසි ිවේ විය ැේ
ිකුපාමලය,30,23,95,70,ප්‍ර‍ාන වශහයන් වැසි රහිත
මන්නාරම,31,24,90,65,ප්‍ර‍ාන වශහයන් වැසි රහිත
