River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.00,1.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.15,2.15,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.20,10.16,Normal,,1.5,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.55,1.35,Normal,,4.9,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.93,0.92,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.67,0.63,Normal,,0.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.84,0.84,Normal,,1.4,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.77,0.68,Normal,,0.2,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.17,5.16,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.43,1.42,Normal,,0.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.55,1.54,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.44,2.39,Normal,,2.9,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.17,1.16,Normal,,0.5,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.54,1.54,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.89,0.88,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.44,3.44,Normal,,0.2,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.97,0.97,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.66,0.66,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.82,1.82,Normal,,0.8,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.60,1.58,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.16,1.16,Normal,,0.7,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.99,1.98,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.92,1.92,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.23,1.23,Normal,,0.3,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.73,0.73,Normal,,0.2,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.89,0.89,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.34,0.33,Normal,,1.4,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,1.48,1.47,Normal,,1.4,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.07,-1.07,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.25,2.39,Normal,,13.6,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.25,1.23,Normal,,7,.9,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.73,0.72,Normal,,0.1,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,6.75,6.65,Alert,Falling,1,0.4,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.42,1.45,Normal,,7,.2,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.88,3.93,Normal,,3.9,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.43,0.43,Normal,,18.6,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.47,1.47,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.19,3.18,Normal,,0.3,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.03,2.03,Normal,,9,.8,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.03,2.01,Normal,,0.0,,
