"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 19th April 2026 at 1000hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ හානි
KOik Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"වයඹ පලාත
tlNky;
khfhzk;
North Western",1,කුරුණෑගල,Nikaweratiya,Drowning,2026.04.16,,,8,2,,,,,,,,,"08 person have deid
and 02 person
Injured while bathing
at Deduru oya river
in Kobeigane"
,,"FUdhfy;
Kurunegala",Polgahawela,"High Wind / Tree
Fallen",2026.04.16,140,555,1,2,,1,139,,,,,,"01 person died due
to tree fallen into the
house in Oruliyadda
GN"
,,,Alawwa,Lightning,2026.04.12,1,2,,,,,1,,,,,,
,,,Mawathagama,High Wind,2026.04.15,1,5,,,,,1,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,142,562,9,4,0,1,141,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,142,562,9,4,0,1,141,0,0,0,0,0,
"මධ්‍යම පලාත
kj;jpa khfhzk;
Central",2,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Nuwaraeliya,Fire,2026.04.16,3,9,,,,3,,,,,,,"03 Line houses were
fully damaged due
to fire incident at
Bambarakele GN"
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,3,9,0,0,0,3,0,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,3,9,0,0,0,3,0,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,145,571,9,4,0,4,141,0,0,0,0,0,
ආපදා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,
