දින්‍ය : 2026-03-28,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,35,24,95,45,ප්‍රධාන වශයයේ වැසි රහිත
මඩකලපුව,33,25,90,65,ප්‍රධාන වශයයේ වැසි රහිත
යකාළඹ,33,27,85,60,ප්‍රධාන වශයයේ වැසි රහිත
ගාල්ල,32,27,90,55,සවස 2.00ේ පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,34,23,95,60,වැසි සරවල්පයක්
මහනුවර,34,21,95,45,ප්‍රධාන වශයයේ වැසි රහිත
නුවරඑළිය,24,10,80,40,ප්‍රධාන වශයයේ වැසි රහිත
රත්නපුරය,36,24,95,45,සවස 2.00ේ පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,35,24,95,60,ප්‍රධාන වශයයේ වැසි රහිත
මේනාරම,33,25,95,60,ප්‍රධාන වශයයේ වැසි රහිත
