River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.90,1.55,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.55,2.50,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.09,10.06,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.71,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.50,0.49,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.80,0.83,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.67,0.67,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.70,1.63,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.85,5.80,Normal,,1.2
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.53,1.50,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.31,3.19,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.37,5.35,Alert,Falling,0.0
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.90,1.84,Normal,,0.5
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.34,3.32,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.71,1.71,Minor Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.34,5.22,Alert,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.46,1.44,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.70,0.68,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.55,0.55,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.12,0.11,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.54,0.54,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.20,1.19,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.33,-0.33,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.84,0.82,Normal,,1.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.15,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.08,0.09,Normal,,0.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.43,-1.42,Normal,,1.1
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.29,-0.28,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.05,-3.07,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.60,1.80,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.22,1.22,Normal,,0.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.32,0.29,Normal,,2.5
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.40,1.40,Normal,,19.2
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.37,0.37,Normal,,2.8
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.32,0.33,Normal,,0.6
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.11,-0.10,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.11,-0.11,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.36,2.35,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.16,1.15,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.82,1.78,Normal,,0.0
