River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3:00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.40,3.40,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.14,5.00,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.95,11.83,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.50,1.77,Normal,,5.7,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.36,1.31,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.76,0.75,Normal,,3.3,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.05,1.05,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.25,1.26,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.08,6.02,Normal,,0.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.13,2.08,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.77,1.75,Normal,,0.0,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,2.99,2.99,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.92,1.90,Normal,,0.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.50,1.49,Normal,,1.2,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.56,0.64,Normal,,0.5,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.57,2.54,Normal,,0.8,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.55,0.54,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.09,0.09,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.82,0.81,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.18,1.17,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.29,1.29,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.31,1.31,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.05,-0.05,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.87,0.86,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.75,0.75,Normal,,0.9,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.66,0.65,Normal,,0.1,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.30,0.33,Normal,,1.7,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.75,-2.30,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.49,2.40,Normal,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.40,1.71,Normal,,38.3,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.52,0.50,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.37,1.49,Normal,,42.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.88,1.36,Normal,,21,,.3,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.12,2.07,Normal,,21,,.3,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.48,1.43,Normal,,1.6,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.71,5.75,Alert,Rising,28.6,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,6.32,6.15,Alert,Falling,,15.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,4.20,4.02,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.70,2.74,Normal,,0.0,,,
