Automatic Weather Station,Districts,Rainfall (mm)
Kesbewa,Colombo,225.5
Rathmalana,Colombo,201.9
Bandaragama,Kaluthara,173.1
Gilimale,Rathnapura,161.0
Rathnapura,Rathnapura,130.5
