සේවයංක්‍රිය වර්ෂොමොන මධ්‍යසේථොනය,දිසේික් ය,වර්ෂොපතනය ( මි.මී )
කැස්බෑව,වකාළඹ,225.5
රත්මලාන,වකාළඹ,201.9
බන්ඩාරගම,කළුතර,173.1
ගිලිමවේ,රත්නපුර,161.0
රත්නපුර නගරය,රත්නපුර,130.5
