River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.20,2.10,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.32,3.32,Normal,,66.6,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.87,10.81,Normal,,57.,0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.72,1.61,Normal,,13.1,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.90,0.86,Normal,,25.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.93,0.88,Normal,,29.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.64,0.65,Normal,,2.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.25,1.25,Normal,,12.5,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.02,6.05,Normal,,10.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.97,1.92,Normal,,32.6,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.98,3.10,Normal,,10.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.79,3.80,Normal,,38.0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.38,2.35,Normal,,49.,6
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.82,2.85,Normal,,75.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.44,1.45,Alert,Rising,6.4,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.58,4.65,Normal,,6.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.92,1.84,Normal,,11.7,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.88,0.86,Normal,,17.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.46,0.46,Normal,,0.5,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.03,-0.03,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.53,0.52,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.08,1.07,Normal,,11.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.33,-0.33,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.83,0.82,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.14,0.15,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,3.7,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.28,-1.26,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.14,-0.12,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.99,-3.03,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.35,1.40,Normal,,1.6,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.17,1.16,Normal,,6.7,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.29,0.26,Normal,,11.5,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.40,1.40,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.37,0.37,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.38,0.37,Normal,,8.4,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.11,-0.11,Normal,,0.9,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.14,-0.14,Normal,,8.9,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.22,3.21,Normal,,33.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.90,1.88,Normal,,50.,9
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.40,3.40,Alert,,82.3,
