River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level 2
Rising or i
Falling","4 Hr RF
n mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.01,1.90,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.16,4.43,Normal,,43.4
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.42,13.60,Normal,,46.6
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.12,1.82,Normal,,54.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.08,1.86,Normal,,60.4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.25,1.90,Normal,,53.3
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.26,1.28,Normal,,44.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.57,2.59,Normal,,56.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.62,8.65,Normal,,48.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.27,6.12,Alert,Falling,59.5
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.23,4.27,Alert,Rising,22.7
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.34,6.37,Alert,Rising,44.3
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.21,3.10,Normal,,39.4
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.95,3.96,Alert,Rising,29.4
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.72,1.72,Minor Flood,,5.7
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.93,5.88,Alert,Falling,17.4
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.89,1.79,Normal,,33.6
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.93,0.91,Normal,,43.1
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.79,0.77,Normal,,10.5
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.20,-0.20,Normal,,4.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.48,0.49,Normal,,1.7
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.94,0.94,Normal,,6.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.32,-0.32,Normal,,1.9
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.62,0.63,Normal,,1.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.18,0.18,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.11,0.10,Normal,,2.2
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.39,-1.39,Normal,,0.8
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.25,-0.25,Normal,,0.8
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.79,-2.82,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.25,2.60,Normal,,43.6
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.20,2.02,Normal,,53.4
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.20,0.20,Normal,,9.2
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.44,1.44,Normal,,0.4
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.39,0.39,Normal,,21.5
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.46,0.47,Normal,,2.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.08,0.10,Normal,,43.8
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.19,-0.19,Normal,,26.9
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.52,2.53,Normal,,28.7
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.48,1.53,Normal,,56.6
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.57,3.56,Alert,Falling,85.0
