River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 AM","Water
Level at
6:00 AM",Remarks,"Water Level
Rising or
Falling","21 Hr RF
in mm at
6:00 AM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,2.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.14,5.09,Normal,,,14.7,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.29,13.17,Normal,,,21.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.98,2.90,Normal,,29.,,2
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.59,1.55,Normal,,28.,,3
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.15,2.04,Normal,,27.,,5
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.62,1.63,Alert,Rising,46.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.60,2.62,Normal,,,10.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.52,9.50,Normal,,,14.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.10,6.08,Alert,Falling,,18.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.60,2.63,Normal,,,11.4,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.87,5.86,Alert,Falling,,20.5,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.51,2.58,Normal,,,15.5,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.73,2.71,Normal,,,17.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.99,1.99,Minor Flood,,2.2,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.56,5.53,Alert,Falling,,13.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.54,1.51,Normal,,,12.3,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.82,0.80,Normal,,,7.6,
