River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 AM","Water
Level at
3:00 AM",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3:00 AM",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.70,2.70,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,4.64,4.66,Normal,,14.0,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,12.71,12.76,Normal,,20.1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.58,2.58,Normal,,26.5,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.68,1.50,Normal,,16.8,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.87,1.81,Normal,,34.6,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.12,1.16,Normal,,40.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.68,2.65,Normal,,8.7,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.82,7.82,Normal,,18.3,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.35,4.35,Normal,,13.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.98,4.10,Alert,Rising,14.4,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.82,6.82,Minor Flood,,16.2,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.83,3.90,Alert,Rising,86.8,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,4.33,4.60,Alert,Rising,106.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.38,1.38,Normal,,12.9,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.95,5.09,Alert,Rising,24.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.64,2.86,Normal,,88.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,2.80,3.02,Alert,Rising,106.3,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.85,0.90,Normal,,38.7,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.11,1.11,Normal,,18.1,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.95,0.95,Normal,,8.9,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.00,1.00,Normal,,10.3,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.25,-0.25,Normal,,37.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.54,0.54,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.14,0.14,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.08,0.08,Normal,,0.8,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.26,-0.26,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.16,3.76,Normal,,24.6,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.43,2.40,Normal,,26.1,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.17,0.14,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.66,1.66,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,-,-,,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.7,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.39,0.39,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.58,2.59,Normal,,33.8,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.40,1.42,Normal,,36.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.44,2.45,Normal,,8.5,
