River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.60,1.50,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.02,1.03,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.31,9.28,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.53,1.56,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.55,0.55,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.38,0.37,Normal,,0.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.64,0.64,Normal,,2.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.75,0.72,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.18,6.16,Normal,,0.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.67,2.50,Normal,,4,3.4,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.85,1.79,Normal,,1.6,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.09,3.13,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.43,2.44,Normal,,0.5,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.39,2.35,Normal,,19.6,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.53,1.52,Alert,Falling,7.4,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.59,5.57,Alert,Falling,3,4.7,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.55,1.50,Normal,,84.8,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.80,0.76,Normal,,13.3,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.10,3.09,Alert,Falling,3,9.7,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,3.40,3.19,Normal,,65.1,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.23,1.22,Normal,,53.,,0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,3.51,3.27,Normal,,65.4,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.94,1.85,Normal,,15.5,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.91,1.89,Normal,,11.3,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.09,1.09,Normal,,0.3,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.10,1.10,Normal,,0.0,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.70,1.68,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.84,2.82,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.81,-0.82,Normal,,0.2,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.63,2.71,Normal,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.03,1.01,Normal,,0.6,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.05,1.05,Normal,,11.4,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.36,2.35,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.78,0.78,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.12,3.07,Normal,,6.2,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.41,0.41,Normal,,1.8,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.96,0.94,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.30,2.29,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.17,1.17,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.92,0.92,Normal,,0.0,,,
