River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 PM","Water
Level at
6:00 PM",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at
6:00 PM",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.55,2.90,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.57,5.53,Normal,,14.2,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.83,13.71,Normal,,16.6,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.50,3.05,Alert,Rising,20.4,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.70,1.76,Normal,,17.9,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.94,1.99,Normal,,19.2,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.47,1.47,Normal,,10,,,.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.48,2.52,Normal,,9,,,.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.46,9.46,Normal,,11,,,.4,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.48,6.41,Alert,Falling,10,,,.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.97,2.93,Normal,,0.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.85,5.86,Alert,Rising,18.8,,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.52,2.49,Normal,,1.3,,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.00,2.99,Normal,,,4.6,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.96,1.96,Minor Flood,,0.5,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.96,5.91,Alert,Falling,,,6.9,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.66,1.64,Normal,,0.0,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.86,0.86,Normal,,,4.5,,,
