දින්‍ය : 2026-09-17,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලප්ක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,34,24,90,55,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මඩකලපුව,32,24,95,55,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
වකාළඹ,30,25,90,65,විටින් විට වැසි
ගාල්ල,28,24,95,60,විටින් විට වැසි
යාපනය,33,28,90,70,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මහනුවර,30,22,95,70,වැසි වාර කිහිපයක්
නුවරඑළිය,21,14,95,70,වැසි වාර කිහිපයක්
රත්නපුරය,32,24,95,70,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
ිකුණාමලය,33,25,90,75,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
මන්නාරම,32,27,95,75,වැසි ස්වල්පයක්
