River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 hr RF in
mm at 6:00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.30,3.00,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.67,4.53,Normal,,4.7,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.59,11.88,Normal,,12.8,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.98,1.97,Normal,,9.3,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.22,1.22,Normal,,1.2,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.08,0.95,Normal,,45.2,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.02,0.99,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.17,1.10,Normal,,5.6,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.98,6.05,Normal,,29,.7,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.98,2.12,Normal,,42.2,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.71,1.71,Normal,,35,.0,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,2.98,2.99,Normal,,9.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.85,1.83,Normal,,25,.8,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.47,1.49,Normal,,1.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.66,0.61,Normal,,0.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.49,2.47,Normal,,0.8,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.52,0.51,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.08,0.07,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.80,0.79,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.15,1.12,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.29,1.30,Normal,,8.1,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.29,1.28,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.06,-0.08,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.85,0.84,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.73,0.73,Normal,,0.9,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.61,0.60,Normal,,0.1,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.38,0.40,Normal,,1.7,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.88,-1.85,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.26,2.30,Normal,,4.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.80,1.81,Normal,,55.7,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.46,0.45,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.73,1.80,Normal,,53.1,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.82,1.68,Normal,,22,.4,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.02,2.00,Normal,,24,.9,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.35,1.30,Normal,,2.7,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.82,5.86,Alert,Rising,30,.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,5.90,5.55,Alert,Falling,16.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.70,3.58,Normal,,2.8,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.92,3.00,Normal,,0.0,,
