River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 p.m",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at 6.00
p.m",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.20,1.50,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.91,1.90,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.96,9.94,Normal,,9.5,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.66,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,0.79,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.70,0.66,Normal,,0.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.89,0.89,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.85,0.85,Normal,,1.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.78,5.76,Normal,,0.6,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.87,1.85,Normal,,5.,3
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.04,2.04,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.57,3.54,Normal,,5.,9
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.50,2.48,Normal,,0.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.94,1.91,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.82,1.82,Minor Flood,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.82,4.82,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.39,1.38,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.91,0.91,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.75,1.73,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.20,3.16,Normal,,0.4,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.46,4.45,Normal,,2.0,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.74,2.73,Normal,,0.0,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.51,1.51,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.18,2.16,Normal,,0.0,
