"Locations for Potential Risk
නායයෑපම් අවදානම ෙවැ තිය හැකි ප්‍රපේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Badulla,"Ella,
Lunugala,
Passara,
Badulla and
Hali Ela
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Galle,"Neluwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kandy,"Thumpane
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Ududumbara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Matale,"↓ Laggala Pallegama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matara,"Kotapola and
Pitabeddara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Monaragala,"↓ Medagama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Nuwara Eliya,,"Nuwaraeliya,
Hanguranketha and
Walapane
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Ratnapura,"* Pelmadulla and
Eheliyagoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","↑ Imbulpe,
* Openayake and
↑ Balangoda
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
