River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12.00
Noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.60,2.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.99,2.95,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.69,10.63,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.85,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.87,0.86,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.78,0.77,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.94,0.93,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.80,1.80,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.00,6.96,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.68,2.60,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.59,2.48,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.26,5.22,Alert,Falling,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.70,3.67,Alert,Falling,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.27,2.23,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.10,2.11,Minor Flood,Rising,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.51,6.47,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.00,1.98,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.45,1.44,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.33,3.31,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.12,2.04,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.30,3.25,Normal,,0.0
