ප්‍රධාන නගර සදහා කාලගුණ අනාවැකිය දි න ය : 2 0 2 5 - 1 2 -21,,,,,
නගරය,උෂණ් ත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,28,21,90,70,වැසි සව් ල්පයක්
මඩකලපුව,30,25,90,80,වැසි වාර කිහිපයක්
කකාළඹ,30,23,80,65,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,28,24,90,80,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,29,20,85,65,ප්‍රධාන වශකයන් වැසි රහිත
මහනුවර,26,20,90,80,සිහින් වැසි වාර කිහිපයක්
නුවරඑළිය,17,13,95,85,සිහින් වැසි වාර කිහිපයක්
රත්නපුරය,30,23,95,80,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ
ත්‍රිකුණාමලය,29,23,80,65,වැසි සව් ල්පයක්
මන්නාරම,29,25,80,65,වැසි සව් ල්පයක්
