River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.30,1.35,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.21,0.25,Normal,,5.,,7,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.48,8.45,Normal,,7.6,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.50,1.20,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.13,0.13,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.18,0.20,Normal,,0.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.45,0.44,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.35,0.33,Normal,,0.2,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,3.64,3.64,Normal,,10.6,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,0.18,0.20,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.47,0.47,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.28,1.26,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,0.81,0.81,Normal,,,2.0,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.06,1.06,Normal,,0.6,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.15,0.13,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.10,2.10,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.09,0.09,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,-0.19,-0.19,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.70,0.75,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.45,-0.45,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.43,0.42,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.80,0.80,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.32,-0.32,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.56,0.56,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.20,0.20,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,0.0,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.31,-1.32,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,-0.17,-0.18,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.23,-3.26,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.08,1.05,Normal,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.69,0.69,Normal,,0.0,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.11,0.11,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.45,1.45,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.40,0.40,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.46,0.46,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.07,-0.07,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,-0.24,-0.24,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.61,1.61,Normal,,0.5,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.58,0.58,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.36,0.36,Normal,,0.0,,,
