දින්‍ය : 2026-07-16,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,25,90,60,ප්‍රධාන වශනයේ වැසි රහිත
මඩකලපුව,33,25,85,55,ප්‍රධාන වශනයේ වැසි රහිත
නකාළඹ,31,28,85,70,වැසි ස්වල්පයක්
ගාල්ල,30,28,85,80,වැසි ස්වල්පයක්
යාපනය,33,28,85,65,ප්‍රධාන වශනයේ වැසි රහිත
මහනුවර,29,20,90,70,වැසි ස්වල්පයක්
නුවරඑළිය,23,12,90,70,ප්‍රධාන වශනයේ වැසි රහිත
රත්නපුරය,32,24,90,65,වැසි ස්වල්පයක්
ිකුණාමලය,36,26,75,45,ප්‍රධාන වශනයේ වැසි රහිත
මේනාරම,31,28,85,75,ප්‍රධාන වශනයේ වැසි රහිත
