River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.00,1.15,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.29,3.30,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.14,11.05,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,1.88,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.96,0.94,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.80,0.81,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.28,1.24,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.09,2.07,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.43,7.45,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.33,4.16,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.37,4.32,Alert,Falling,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.05,6.03,Alert,Falling,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.17,4.17,Minor Flood,,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.20,2.91,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.98,1.99,Minor Flood,Rising,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.47,6.41,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.25,2.18,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.20,1.19,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,3.60,3.57,Alert,Falling,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,7.33,7.33,Alert,,4.7
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,6.73,6.76,Alert,Rising,2.8
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.49,3.47,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.26,2.20,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.84,2.80,Normal,,0.0
