දිනය : 2026-06-30,,,,,
නගරය,උෂ්ණත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,26,90,60,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,34,25,90,65,ප්‍රධාන වශයයන් වැසි රහිත
යකාළඹ,32,26,90,80,විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
ගාල්ල,31,24,90,80,විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
යාපනය,33,28,80,65,ප්‍රධාන වශයයන් වැසි රහිත
ම නුවර,31,23,95,70,විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
නුවරඑළිය,21,14,95,75,විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
රත්නපුරය,32,25,95,70,විටින් විට වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති යේ
ත්‍රිකුණාමලය,36,27,80,50,ප්‍රධාන වශයයන් වැසි රහිත
මන්නාරම,32,28,90,80,ප්‍රධාන වශයයන් වැසි රහිත
