දින්‍ය : 2026-03-12,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,23,95,60,වැසි සරවල්පයක්
මඩකලපුව,31,24,95,65,වැසි වාර කිහිපයක්
තකාළඹ,31,25,85,55,සවස 2.00න පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,31,25,85,55,සවස 2.00න පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,33,23,95,60,වැසි සරවල්පයක්
මහනුවර,33,19,85,45,සවස 2.00න පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
නුවරඑළිය,22,11,95,40,සවස 2.00න පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
රේනපුරය,37,23,90,65,සවස 2.00න පසුව වැසි තහෝ ගිගුරුම් සහිත වැසි ඇති තේ
ිකුණාමලය,31,25,90,65,ප්‍රධාන වශතයන වැසි රහිත
මනනාරම,33,25,90,50,ප්‍රධාන වශතයන වැසි රහිත
