River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 hr RF in
mm at 6:00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.00,2.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.01,5.04,Normal,,,,6.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.75,12.66,Normal,,,,8.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.99,1.88,Normal,,16.7,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.36,1.36,Normal,,12.9,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.32,1.37,Normal,,,,6.1,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.05,1.05,Normal,,,2.8,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.18,2.18,Normal,,,,6.1,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.98,8.04,Normal,,,,6.4,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.71,4.65,Normal,,,3.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.81,4.79,Alert,Falling,16.6,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,5.57,5.61,Alert,Rising,,3.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.11,3.13,Normal,,0.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.56,2.47,Normal,,,,8.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.84,0.80,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.94,3.96,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.36,1.32,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.84,0.78,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.98,1.08,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.88,0.88,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.99,1.00,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.24,1.24,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.06,-0.07,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.85,0.84,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.52,0.52,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.29,0.29,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.60,0.63,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.56,-2.56,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.74,2.90,Normal,,14.2,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.78,1.80,Normal,,,,9.9,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.35,0.33,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.52,1.52,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.53,0.53,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.50,1.52,Normal,,0.3,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.87,0.85,Normal,,,,4.9,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.68,4.30,Normal,,,,5.1,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.04,4.07,Normal,,13.3,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.31,3.28,Normal,,,,7.3,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.02,3.04,Normal,,1,,0.0,
