දිනය : 2026-06-22,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,32,26,90,60,ප්‍රධාන වශයයන් වැසි රහිත
මඩකලපුව,33,26,85,65,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යකාළඹ,30,25,90,70,වැසි වාර කිහිපයක්
ගාල්ල,29,25,90,70,වැසි වාර කිහිපයක්
යාපනය,32,28,80,65,ප්‍රධාන වශයයන් වැසි රහිත
මහනුවර,29,20,90,60,වැසි සව් ල්පයක්
නුවරඑළිය,21,13,95,65,වැසි වාර කිහිපයක්
රත්නපුරය,30,23,95,65,වැසි වාර කිහිපයක්
ත්‍රිකුණාමලය,34,25,75,50,සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,31,27,85,70,ප්‍රධාන වශයයන් වැසි රහිත
