River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.75,2.75,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.72,4.72,Normal,,,,12.8,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.92,12.00,Normal,,,9.6,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.19,2.18,Normal,,17,,,.7
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.45,1.48,Normal,,19,,,.9
,"Seethawaka
Ganga",Deraniyagala,m,4.80,5.80,6.40,1.76,1.84,Normal,,38.7,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.83,0.84,Normal,,,5.5,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.29,3.28,Alert,Falling,,,13.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.04,8.01,Normal,,28.3,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.73,2.71,Normal,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.70,3.68,Normal,,,4.1,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.09,7.08,Minor Flood,Falling,,9.2,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.33,2.30,Normal,,1.5,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.66,3.65,Alert,Falling,0.0,,,
"Nilwala
Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.30,1.30,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.76,4.72,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.23,1.20,Normal,,,7.2,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.40,0.39,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.08,3.10,Normal,,,,14.9,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.84,1.87,Normal,,,10.1,,
"Attanagalu
Oya (RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.31,3.35,Alert,Rising,20,,,.0
