දින්‍ය : 2026-03-08,,,,,
න්‍ගරය,උෂ්ණත්වය(සස. අංශක),,සාසේක්ෂ ආර්තරතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,34,22,95,40,ප්‍රධාන වශහයන් වැසි රහිත
මඩකලපුව,31,24,95,70,ප්‍රධාන වශහයන් වැසි රහිත
හකාළඹ,32,25,90,65,ප්‍රධාන වශහයන් වැසි රහිත
ගාල්ල,29,24,85,65,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
යාපනය,33,22,95,40,ප්‍රධාන වශහයන් වැසි රහිත
මහනුවර,33,19,90,40,ප්‍රධාන වශහයන් වැසි රහිත
නුවරඑළිය,22,9,85,40,ප්‍රධාන වශහයන් වැසි රහිත
රත්නපුරය,37,21,95,40,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ිකුණාමලය,31,23,95,55,ප්‍රධාන වශහයන් වැසි රහිත
මන්නාරම,32,24,95,65,ප්‍රධාන වශහයන් වැසි රහිත
