,7,"කෑගල්ල
Nffhiy
Kegalle",Mawanwella,High Wind,2025.05.30,1,4,,,,,1,,,,,,
,,,Warakapola,Tree fallen,2025.06.01,1,3,,,,,1,,,,,,
,,,Galigamuwa,Tree fallen,2025.06.02,6,17,,,,,6,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,8,24,0,0,0,0,8,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,745,2786,0,10,0,0,736,12,1,0,0,0,
"මධ්‍යම පලාත
kj;jpa khfhzk;
Central",8,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Kothmale East,High Wind,2025.05.27-31,37,147,,,,,37,,,1,5,18,Ayiri Tamil School
,,,Walapane,High Wind,2025.05.28-29,4,18,,,,,4,,,,,,
,,,Thalawakele,Cutting faliure,2025.05.28,1,4,,,,,1,,,,,,
,,,,Landslide,2025.05.30-31,1,6,,,,,1,,,,,,
,,,,High Wind,2025.05.30-31,5,21,,,,,5,,,,,,
,,,Hanguranketha,High Wind,2025.05.29-31,12,45,,,,,12,,,,,,
,,,Nuwara Eliya,High Wind,2025.05.29-31,22,109,,1,,,22,,,1,1,5,perakumbura Centre
,,,,Landslide Risk,2025.05.30-31,28,120,,,,,2,,,1,28,120,Carliberg Tamil School
,,,,Cutting faliure,2025.05.30-31,1,6,,,,,1,,,,,,
,,,Kotmale West,Heavy Rain/ Wind,2025.05.30-31,14,50,,,,,14,,,,,,
,,,Ambagamuwa,High Wind,2025.05.29-31,16,51,,,,,16,,,,,,
,,,Norwood,High Wind,2025.05.30-31,13,55,,1,,,13,,,1,3,16,Upper division Kovil
,,,,High Wind,,,,,,,,,,,1,1,3,Morar estate Gn office
,,,Mathurata,High Wind,2025.05.29-31,44,155,,,,,44,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,198,787,0,2,0,0,172,0,0,5,38,162,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,198,787,0,2,0,0,172,0,0,5,38,162,
,9,"මුලතිව්
Ky;iyj;jPT
Mulaitivu",Maritimepattu,Drowning,2025.06.01,4,11,4,,,,,,,,,,
උතුරු පලාත,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,11,4,0,0,0,0,0,0,0,0,0,
"tl khfhzk
Northen ;",10,"කිලි්නාච්චිය
fpspnehr;rp
Killinochchi",Karachchi,High Wind,2025.05.29,4,9,,,,,4,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,9,0,0,0,0,4,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,8,20,4,0,0,0,4,0,0,0,0,0,
"ඌව
Cth khfhzk;
Uva",11,"්මානරාගල
nkhdwhfiy
Moneragala",Monaragala,Tree fallen,2025.06.03,1,1,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,1,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1,1,0,0,0,0,1,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,2874,10648,4,23,0,2,2798,39,20,5,38,162,
ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,
