River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3.00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.20,3.50,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.01,5.23,Normal,,59.,4,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.20,13.52,Normal,,52.,1,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.85,1.85,Normal,,65.,8,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,3.05,3.40,Minor Flood,Rising,90.4,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.60,1.55,Normal,,40.5,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.41,1.38,Normal,,53.,0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.17,3.18,Alert,Rising,21.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.44,8.43,Normal,,7.2,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.45,5.40,Alert,Falling,36.2,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.55,4.39,Alert,Falling,22.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.47,7.47,Minor Flood,,36.7,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.84,3.84,Alert,,20.9,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.21,3.23,Normal,,20.9,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.52,1.52,Alert,,13.9,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.27,5.27,Alert,,25.3,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.80,1.73,Normal,,25.3,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.24,1.25,Normal,,30.2,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.38,1.35,Normal,,3.8,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.56,0.57,Normal,,1.5,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.82,0.82,Normal,,2.7,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.31,1.31,Normal,,3.8,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.16,-0.16,Normal,,2.2,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.85,0.86,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.53,0.53,Normal,,1.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.43,0.43,Normal,,0.5,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.54,0.53,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.21,-2.24,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.98,3.31,Normal,,53.,2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.30,2.35,Normal,,76.5,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.43,0.43,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.84,1.84,Normal,,6.5,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,2.4,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.43,1.43,Normal,,7.3,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,2.73,2.78,Normal,,52.,6,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.25,3.28,Normal,,36.5,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.26,2.37,Normal,,39.5,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.06,4.12,Alert,Rising,31.1,,
