River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.00,0.70,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.38,0.44,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.77,8.71,Normal,,11.7,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.20,1.10,Normal,,25.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.23,0.23,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.32,0.34,Normal,,0.9,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.56,0.56,Normal,,3.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.43,0.30,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.36,4.38,Normal,,0.0,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.03,1.01,Normal,,18.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.87,0.86,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.47,2.46,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,0.93,0.89,Normal,,0.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.61,1.68,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.40,0.38,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.33,2.35,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.50,0.48,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.04,0.03,Normal,,37.4,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.00,1.00,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.40,0.38,Normal,,29.1,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.63,0.63,Normal,,14.9,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.17,1.15,Normal,,20.8,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.03,0.03,Normal,,1.8,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.69,0.69,Normal,,0.8,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.80,0.74,Normal,,51.2,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.33,0.33,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.96,0.81,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.88,-1.85,Normal,,7.2,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.15,1.15,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.49,0.49,Normal,,8.8,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.33,0.30,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.03,2.00,Normal,,40.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.62,0.62,Normal,,1.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,3.05,3.07,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.22,0.22,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.01,0.01,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.93,1.93,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.83,0.83,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.45,0.44,Normal,,0.0,
