River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
02:00 pm","Water
Level at
03:00 pm",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at
03.00 pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,2.50,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.13,4.08,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.31,11.27,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.92,1.92,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.81,0.80,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.22,1.20,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.82,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.13,3.12,Alert,Falling,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.66,8.61,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.15,3.09,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.10,4.08,Alert,Falling,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.06,7.03,Minor Flood,Falling,0.0
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.85,2.79,Normal,,0.0
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.16,5.16,Major Flood,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.92,2.92,Major Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.78,6.77,Minor Flood,Falling,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.34,2.30,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.34,1.32,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.01,2.99,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.65,1.62,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.00,3.96,Alert,Falling,0.0
