"උතුරුමැද පලාත
tlkj;jpa
khfhzk;
North Central",7,"අනුරාධ්‍පුර
m.Guk;
Anuradhapura",Thirappane,High Wind / Rain,2025.05.17,4,16,,,,,4,,,,,,,
,,,Galenbindunuwewa,High Wind,2025.05.17,2,9,,,,,2,,,,,,,
,,,Kebithigollewa,High Wind,2025.05.17,4,13,,,,,4,,,,,,,
,,,Horowpothana,High Wind / Rain,2025.05.17-18,26,90,,,,,26,,,,,,,
,,,Mihinthale,High Wind,2025.05.17,1,2,,,,,1,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,37,130,0,0,0,0,37,0,0,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,37,130,0,0,0,0,37,0,0,0,0,0,,
"Western
Nky; khfhzk
බස්ත්‍රනාහිර පලාත",,කළුතර,Walallawita,,2025.05.18,,,,,,,,,1,,,,,
,8,fSj;Jiw,Agalawatta,High Wind,2025.05.18-19,7,24,,,,,7,,,,,,,
,,Kalutara,Mathugama,,2025.05.18,2,7,,,,,2,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,9,31,0,0,0,0,9,0,1,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,9,31,0,0,0,0,9,0,1,0,0,0,,
"ඌව
Cth khfhzk;
Uva",9,"්මානරාගල
nkhdwhfiy
Moneragala",Wellawaya,High Wind / Rain,2025.05.19,1,3,,,,,1,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1,3,0,0,0,0,1,0,0,0,0,0,,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1,3,0,0,0,0,1,0,0,0,0,0,,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,108,398,5,0,1,0,104,1,6,0,0,0,,
ආපදා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,,,,,
,,,,,,,"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,
