River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.30,1.30,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.81,2.82,Normal,,0.8,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.06,11.06,Normal,,1.2,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.88,1.84,Normal,,11.9,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.04,1.00,Normal,,7.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.10,1.08,Normal,,7.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.40,1.38,Normal,,41.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.58,1.47,Normal,,2.2,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.96,6.95,Normal,,5.1,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.57,3.50,Normal,,7.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.26,2.28,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.27,4.22,Normal,,8.5,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.58,3.55,Alert,Falling,17.1,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.33,2.32,Normal,,15.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.10,2.10,Minor Flood,,9.8,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.75,5.75,Alert,,2.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.80,1.80,Normal,,8.7,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.30,1.32,Normal,,5.7,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,1.16,1.12,Normal,,1.2,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.19,2.04,Normal,,12.6,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.10,1.17,Normal,,28.4,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.28,2.15,Normal,,8.4,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.29,0.25,Normal,,3.9,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.31,1.26,Normal,,62.4,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.84,0.79,Normal,,7.3,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.34,0.31,Normal,,0.0,
,,Manampitiya ( Old),m,3.50,5.00,6.00,0.95,0.95,Normal,,25.7,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.09,2.09,Normal,,25.7,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.87,-1.98,Normal,,27.6,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.78,3.69,Normal,,66.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.71,1.69,Normal,,15.4,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.07,1.01,Normal,,14.4,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.26,4.22,Normal,,163.3,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.41,0.40,Normal,,85,.9
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.49,0.56,Normal,,48.8,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.02,-0.02,Normal,,16.3,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.01,0.01,Normal,,7.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.71,2.71,Normal,,2.4,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.64,1.76,Normal,,7.1,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.88,1.90,Normal,,1.6,
