River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,1.70,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.79,3.71,Normal,,48,.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.05,10.87,Normal,,50,.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.80,1.52,Normal,,59.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.77,0.74,Normal,,25.3,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.99,0.98,Normal,,46,.8,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.76,0.75,Normal,,37,.7,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.76,1.85,Normal,,42,.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.18,8.20,Normal,,79.8,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.87,4.71,Normal,,47,.8,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.38,4.20,Alert,Falling,35,.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.20,5.23,Alert,Rising,65.3,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.35,2.36,Normal,,14.2,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.10,2.08,Normal,,47,.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.47,0.54,Normal,,11.4,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.12,3.15,Normal,,5.8,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.97,0.95,Normal,,9.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.52,0.49,Normal,,20.4,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.18,1.14,Normal,,6.3,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.08,0.08,Normal,,2.9,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.58,0.58,Normal,,9.3,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.17,1.17,Normal,,7.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.10,-0.10,Normal,,6.9,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.63,0.63,Normal,,10.5,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.35,0.35,Normal,,5.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.19,0.19,Normal,,5.3,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.01,0.00,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.89,-2.95,Normal,,12.2,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.30,2.28,Normal,,65.5,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.46,1.45,Normal,,41,.2,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.24,0.26,Normal,,9.4,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.45,1.45,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.38,0.38,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.94,0.94,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.05,0.05,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.37,0.37,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.20,3.13,Normal,,3.7,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.78,1.70,Normal,,9.6,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.50,1.46,Normal,,10.0,,
