ප්‍රධාන්‍ න්‍ගර සෙහා කාලගුණ අන්‍ාවැකිය දි න්‍ ය : 2 0 2 5 - 1 2 -27,,,,,
න්‍ගරය,උෂ්ණත්වය(දස. අංශ්‍ක),,සාදේක්ෂ ආර්රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,29,21,95,60,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මඩකලපුව,28,24,90,80,වැසි සරවේපයක්
හකාළඹ,32,24,85,55,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
ොේල,29,24,90,75,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
යාපනය,28,22,90,70,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
ම නුවර,29,19,90,65,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
නුවරඑළිය,19,9,95,85,වැසි සරවේපයක්
රත්නපුරය,34,24,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති විය ැක
ිකුණාමලය,28,23,90,65,වැසි සරවේපයක්
මන්නාරම,30,24,90,70,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
