River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF
in mm at
12.00
Noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,4.60,4.50,Alert,Falling,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.92,6.79,Normal,,0.5,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.73,12.61,Normal,,0.2,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.25,2.17,Normal,,1.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.28,1.26,Normal,,,1.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.34,1.48,Normal,,3.,,7
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.88,0.89,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.19,3.19,Alert,,0.7,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.14,9.13,Normal,,,2.5,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.83,3.74,Normal,,,1.7,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.85,3.77,Normal,,7.8,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.68,7.67,Minor Flood,Falling,0.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.16,2.11,Normal,,0.8,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.42,2.40,Normal,,,2.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.82,0.82,Normal,,1.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.78,3.73,Normal,,,2.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.05,1.05,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.45,0.45,Normal,,0.0,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.50,3.44,Normal,,4.,,5
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.25,2.21,Normal,,4.,,2
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.16,4.06,Alert,Falling,0.0,,
