දින්‍ය : 2026-06-29,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,26,90,60,වැසි ස්වල්පයක්
මඩකලපුව,33,28,85,65,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
වකාළඹ,31,27,85,75,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
ගාල්ල,30,28,85,80,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
යාපනය,34,29,80,65,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මහනුවර,30,22,95,70,වැසි වාර කිහිපයක්
නුවරඑළිය,21,14,90,75,වැසි වාර කිහිපයක්
රත්නපුරය,32,25,95,70,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
ිකුණාමලය,35,27,80,50,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,31,28,85,75,වැසි ස්වල්පයක්
