දිනය : 2026-05-09,,,,,
නගරය,උෂ්ණත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,33,24,95,60,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මඩකලපුව,33,26,90,60,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
හකාළඹ,32,25,95,70,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,31,24,95,75,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,26,95,60,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ම නුවර,32,23,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
නුවරඑළිය,22,13,90,80,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
රත්නපුරය,34,24,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
ත්‍රිකුණාමලය,33,25,95,60,වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
මන්නාරම,33,25,95,65,සවස 2.00න් පසුව වැසි හ ෝ ගිගුරුම් සහිත වැසි ඇති හේ
