River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.90,1.90,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.58,3.60,Normal,,0.2
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.65,11.73,Normal,,59.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.79,1.79,Normal,,3.1
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.80,0.85,Normal,,9.6
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.52,1.40,Normal,,11.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.97,0.97,Normal,,18.6
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.55,2.52,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.39,7.36,Normal,,4.7
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.95,3.05,Normal,,11.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.96,2.94,Normal,,20.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.20,6.20,Alert,,15.2
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.39,2.36,Normal,,16.2
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.83,4.80,Minor Flood,Falling,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.66,2.66,Minor Flood,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.09,6.09,Minor Flood,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.97,2.08,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.09,1.08,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.89,2.86,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.51,1.50,Normal,,0.6
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.65,2.63,Normal,,0.0
