River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 noon",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.05,3.05,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.23,5.25,Normal,,2.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.11,12.14,Normal,,0.7,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.91,1.91,Normal,,1.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.34,1.31,Normal,,0.0,,
,"Seethawaka
Ganga",Deraniyagala,m,4.80,5.80,6.40,1.49,1.45,Normal,,3.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.86,0.86,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.64,3.63,Alert,Falling,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.20,9.17,Normal,,"0.0
3.1",,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.65,3.63,Normal,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.93,3.97,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.55,7.53,Minor Flood,Falling,1.0,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.50,3.51,Normal,,0.0,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.58,3.60,Alert,Rising,0.0,,
"Nilwala
Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.18,1.18,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.75,4.84,Normal,,0.5,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.83,1.91,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.05,1.07,Normal,,1.4,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.65,2.67,Normal,,19.9,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.49,1.52,Normal,,13.4,,
"Attanagalu
Oya (RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.44,3.44,Alert,,9,.1,
