River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,3.00,3.20,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.24,2.23,Normal,,38,,,.8
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.09,10.17,Normal,,,25.7,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.72,1.72,Normal,,9.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.71,0.71,Normal,,5.6,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.71,0.74,Normal,,4.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.82,0.89,Normal,,11.3,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.76,2.75,Normal,,5.3,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.25,8.24,Normal,,14.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.09,4.04,Normal,,8.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.22,4.30,Alert,Rising,3,,1.8,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.38,6.39,Alert,Rising,3.4,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.23,3.20,Normal,,1.5,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.01,2.22,Normal,,9.3,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.15,1.17,Normal,,,24.1,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.12,4.07,Normal,,12.3,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.03,1.06,Normal,,9.8,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.43,0.43,Normal,,11.1,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.28,1.23,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.56,1.52,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.34,1.35,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.65,1.65,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.88,0.88,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.02,1.02,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.56,0.58,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.30,0.30,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.65,0.73,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.06,-3.08,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.62,1.60,Normal,,1.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.15,1.14,Normal,,5.3,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.60,0.59,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.35,2.41,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.61,0.61,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,3.28,3.28,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.47,2.36,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.46,1.43,Normal,,39,,,.1
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.90,2.88,Normal,,,20.2,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.60,1.73,Normal,,72.5,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.92,2.86,Normal,,9.2,,,
