River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6:00 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.80,2.60,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.61,3.58,Normal,,4.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.70,10.63,Normal,,9.4
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.69,1.89,Normal,,1.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.74,0.74,Normal,,2.4
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.03,1.03,Normal,,3.2
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.79,0.79,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.57,4.48,Minor Flood,Falling,2.3
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,9.35,9.25,Normal,,10.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.42,3.39,Normal,,22.6
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.60,2.65,Normal,,19.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.90,7.88,Minor Flood,Falling,7.7
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.40,4.37,Minor Flood,Falling,15.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.53,2.57,Normal,,20.9
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.10,2.05,Minor Flood,Falling,10.5
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.42,5.41,Alert,Falling,9.8
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.71,1.70,Normal,,10.2
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.99,1.05,Normal,,14.1
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.06,1.06,Normal,,17.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.31,0.30,Normal,,18.6
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.60,0.60,Normal,,2.8
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.27,1.27,Normal,,13.1
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.20,-0.20,Normal,,10.3
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.74,0.74,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.37,0.37,Normal,,1.3
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.30,0.30,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.07,0.05,Normal,,5.9
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.84,-2.91,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.95,1.83,Normal,,0.3
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.30,1.30,Normal,,1.1
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.29,0.29,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.49,1.49,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.47,0.47,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.71,0.71,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.74,2.73,Normal,,3.2
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.42,1.41,Normal,,5.5
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.30,2.24,Normal,,9.5
