தன்ைியக்ை வரைிக நிக யம்,மரவட்டம்,மகைவீழ்ச்சி (மி.மீ)
பகஸ்மபவ,தைரழும்பு,204.0
பவயாங்பகாலட,ைம்பஹர,145.5
கிலிேமை,இரத்திைபுரி,121.0
வத்துபிட்டிவை,ைம்பஹர,105.5
பதவிதுை பபருந்மதாட்டம்,ைரலி,102.5
பண்டாைகே அைசுப் பண்லண,களுத்துலற,102.5
ப ாைலண,களுத்துலற,101.5
