River Basin,Tributory/River,Gauging Station,,,,,,,"Water
Level
before
1hr","Water
Level at
9.00 am",Remarks,"Water Level
Rising or
Falling"
,,Station,Cordinate,"Catchment
Area (km2)",Unit,"Alert
,Kirindi Oya,Wellawaya,"6° 42' 33.3'' N
81° 6' 41.6'' E",172,m,4.40,5.40,5.90,0.48,0.48,Normal,
,Kuda Oya,Kuda Oya,"6° 31' 28.8'' N
81° 07' 24'' E",291,m,6.90,8.40,8.80,1.10,1.10,Normal,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,"6° 53' 42.4'' N
81° 17' 49.3'' E",216,m,5.00,6.00,7.50,0.70,0.68,Normal,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,"6° 54' 16.5'' N
81° 32' 44.4'' E",295,m,4.50,5.00,5.60,0.48,0.48,Normal,
"Maduru Oya (RB
54)",Maduru Oya,Padiyatalawa,"7° 23' 0'' N
81° 11' 30'' E",159,m,4.00,4.50,6.00,0.23,0.23,Normal,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya,"7° 54' 53.3'' N
81° 5' 10'' E",7418,m,4.60,4.80,5.10,0.31,0.32,Normal,
,Mahaweli Ganga,Weragantota,"7° 19' 0'' N
80° 59' 18.3'' E",4092,m,5.00,6.00,8.00,-2.85,-2.89,Normal,
,Mahaweli Ganga,Peradeniya,"7° 16' 3'' N
80° 36' 30'' E",1168,m,5.00,7.00,9.00,1.91,1.96,Normal,
,Mahaweli Ganga,Nawalapitiya,"7° 2' 55'' N
80° 32' 3'' E",176,m,3.00,4.00,4.50,1.21,1.20,Normal,
,Badulu Oya,Taldena,"7° 5' 26.7'' N
81° 2' 53.3'' E",276,m,3.00,4.00,5.00,0.58,0.54,Normal,
,Agra Oya,Calidonia,"6° 54' 8.3'' N
80° 42' 00'' E",148,m,_,_,_,0.51,0.50,_,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,"8° 34' 39.44'' N
80° 52' 43.25'' E",720,m,6.00,7.30,10.44,1.27,1.27,Normal,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,,,m,,,,0.51,0.51,,
"Malwathu Oya (RB
90)",Malwathu Oya,Tantirimale,"8° 35' 13.57'' N
80° 16' 31.14'' E",2116,m,6.75,7.25,_,0.77,0.77,Normal,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,"7° 58' 13.3'' N
80° 15' 18.3'' E",299,m,4.84,5.94,7.00,0.10,0.10,Normal,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),"7° 43' 36'' N 80°
15' 48'' E",1370,m,_,_,_,0.79,0.79,_,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,"7° 18' 3.3'' N
79° 58' 50'' E",1360,m,5.00,6.20,9.60,2.13,2.12,Normal,
,Maha Oya,Giriulla,"7° 19' 30'' N
80° 6' 53.3'' E",1192,m,5.50,6.50,7.50,1.03,1.03,Normal,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,"7° 7' 0'' N
80° 4' 54.5'' E",153,m,3.30,4.40,5.50,0.94,0.94,Normal,
