River Basin,Tributary/River,Gauging Station,,,,,"Water
Level at
05:00 pm","Water
Level at
06:00 pm",Remarks,"Water Level
Rising or
Falling","9 Hr RF in
mm at
06.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.90,3.60,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.97,5.91,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.67,12.58,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.95,2.00,Normal,,5.3,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.30,1.26,Normal,,0.8,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.45,1.44,Normal,,7.2,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.01,1.00,Normal,,2.9,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.97,3.98,Alert,Rising,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.41,10.40,Alert,Falling,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,6.27,6.20,Alert,Falling,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.07,5.00,Alert,Falling,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,8.52,8.53,Major Flood,Rising,0.0,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.06,3.05,Normal,,0.0,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.77,4.76,Minor Flood,Falling,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.47,2.48,Minor Flood,Rising,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.41,6.40,Minor Flood,Falling,2,0.5
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.18,2.16,Normal,,1.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.44,1.42,Normal,,1.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.78,3.74,Normal,,38.5,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.49,2.47,Normal,,1,4.8
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.83,4.82,Minor Flood,Falling,1,7.4
