River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.20,1.90,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.60,1.60,Normal,,20.5,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.78,9.79,Normal,,18.2,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.11,2.12,Normal,,3,4.3,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.60,0.62,Normal,,8.9,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.71,0.79,Normal,,13.7,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.95,0.95,Normal,,6.5,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.25,1.23,Normal,,2.8,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.70,5.97,Normal,,66.8,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.71,1.89,Normal,,60.4,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.55,3.50,Normal,,16.5,,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,4.59,4.58,Normal,,2,9.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.74,2.72,Normal,,0.0,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.18,2.18,Normal,,2,8.5,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.85,0.86,Normal,,0.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.63,3.56,Normal,,0.0,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.07,1.06,Normal,,0.0,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.61,0.59,Normal,,0.0,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.30,1.32,Normal,,0.0,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.05,1.05,Normal,,0.0,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.12,1.12,Normal,,0.0,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.46,1.53,Normal,,17.0,,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.10,0.10,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.79,0.79,Normal,,0.0,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.60,0.58,Normal,,0.0,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.41,0.40,Normal,,0.3,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.60,0.61,Normal,,1.7,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.67,-2.55,Normal,,0.0,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.12,3.20,Normal,,20.7,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.19,1.55,Normal,,44.,,2,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.38,0.35,Normal,,0.2,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.66,2.68,Normal,,0.9,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.63,0.63,Normal,,4.3,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.64,1.64,Normal,,3.9,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.55,0.55,Normal,,12.8,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.71,0.71,Normal,,42.,,9,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.71,2.70,Normal,,4.9,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.48,1.47,Normal,,5.9,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.58,1.74,Normal,,76.8,,,,
