River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,5.80,5.80,Minor Flood,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.80,7.73,Alert,Falling,2.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.56,12.45,Normal,,0.9
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.03,1.88,Normal,,3.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.32,1.30,Normal,,3.1
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.62,1.61,Normal,,1.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.89,0.89,Normal,,0.5
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,5.52,5.52,Major Flood,,1.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,12.56,12.53,Major Flood,Falling,5.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,7.25,7.20,Alert,Falling,1.4
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.43,5.36,Alert,Falling,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,NA,NA,-,-,-
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.46,5.48,Major Flood,Rising,0.5
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.06,3.13,Normal,,7.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,3.31,3.28,Major Flood,Falling,3.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.65,6.62,Minor Flood,Falling,-
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.10,2.09,Normal,,4.8
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.02,1.00,Normal,,2.8
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.26,1.24,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.42,0.42,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.72,0.72,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.28,1.28,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.83,0.83,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.43,0.43,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.41,0.41,Normal,,21.5
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.26,0.25,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.89,-2.90,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.88,2.86,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.56,1.55,Normal,,0.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.40,0.40,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.53,1.53,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.53,0.52,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.20,1.20,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.28,0.28,Normal,,0.8
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.86,1.85,Normal,,1.3
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.95,3.86,Normal,,2.5
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.56,2.52,Normal,,1.7
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.50,5.45,Minor Flood,Falling,5.1
