දිනය : 2026-02-17,,,,,
නගරය,උෂණ් ත්වය(සෙ. අංශක),,ොසේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධපුරය,29,22,95,55,විටින් විට වැසි
මඩකලපුව,28,24,95,75,විටින් විට වැසි
කකාළඹ,31,24,85,65,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
ගාල්ල,28,24,95,85,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ
යාපනය,30,22,80,70,වැසි සව් ල්පයක්
මහනුවර,26,19,95,70,විටින් විට වැසි
නුවරඑළිය,18,11,90,55,විටින් විට වැසි
රත්නපුරය,31,22,95,75,සවස 2.00න් පසුව වැසි කහෝ ගිගුරුම් සහිත වැසි ඇති කේ
ත්‍රිකුණාමලය,30,25,80,70,විටින් විට වැසි
මන්නාරම,30,25,90,70,සිහින් වැසි වාර කිහිපයක්
