பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 2 - 1 7,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,29,22,95,55,அவ்வப்ப ோது மழை ப ய்யும்
மட்டக்களப்பு,28,24,95,75,அவ்வப்ப ோது மழை ப ய்யும்
வகாழும்பு,31,24,85,65,"பி. . 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
சோத்தியம்"
காலி,28,24,95,85,பி. . 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
யாழ்ப்பாணம்,30,22,80,70,சிறிதளவில் மழை ப ய்யும்
கண்டி,26,19,95,70,அவ்வப்ப ோது மழை ப ய்யும்
நுவவரலியா,18,11,90,55,அவ்வப்ப ோது மழை ப ய்யும்
இரத்தினபுரி,31,22,95,75,பி. . 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
திருககாணமலை,30,25,80,70,அவ்வப்ப ோது மழை ப ய்யும்
மன்னார்,30,25,90,70,அடிக்கடி சிறிதளவில் மழை ப ய்யும்
