"Locations for Potential Risk
නායයෑපම් අවදානම ෙැවතිය හැකි ප්‍රපේශ fdjpahd mghaKs;s
,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Galle,,"↑ Yakkalamulla,
↑ Elpitiya,
↑ Nagoda,
↑ Neluwa,
↑ Baddegama,
↑ Niyagama and
↑ Thawalama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kalutara,,"Bulathsinhala,
Mathugama,
Ingiriya,
Walallawita,
Agalawatta,
Dodangoda,
Palindanuwara and
↑ Horana
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
,"Note: People who live in other Divisional Secretariat Divisions of Kalutara, Beruwala,
Millaniya, Madurawala and Panadura should be vigilant in cutting failures in Kalutara
District.",,
"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels",,,
down. *newly added with the last update,,,
Special Note: These warning levels are issued based on the cumulative rainfall received to respective,,,
areas and given weather forecast by meteorological department of Sri Lanka,,,
