River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,0.55,0.55,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.45,1.43,Normal,,2.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.51,9.46,Normal,,28.9
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.53,1.53,Normal,,9.2
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.21,0.20,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.77,0.75,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.53,0.54,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.28,2.21,Normal,,5.6
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.90,5.83,Normal,,27.4
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.30,1.29,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.56,5.50,Alert,Falling,116.0
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,7.19,7.19,Minor Flood,,2.8
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.57,2.51,Normal,,27.9
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.00,3.98,Alert,Falling,14.5
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.08,1.05,Normal,,4.2
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.12,4.11,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.84,0.83,Normal,,2.8
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.27,0.27,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.80,0.79,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.29,0.29,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.74,0.74,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.19,1.19,Normal,,0.0
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.20,-0.20,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.88,0.85,Normal,,11.4
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.46,0.46,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.29,0.29,Normal,,0.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.99,-0.99,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.15,0.15,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.80,-2.84,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.08,1.10,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.80,0.79,Normal,,0.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.34,0.34,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.54,1.56,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.47,0.47,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.96,0.95,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.18,0.18,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,-,-,-,0.20,0.20,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.85,1.85,Normal,,4.4
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.79,0.79,Normal,,1.7
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.71,0.70,Normal,,2.3
