River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.20,1.80,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.46,3.34,Normal,,4.7,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.17,10.85,Normal,,44.8,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.67,1.57,Normal,,46.6,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.25,1.20,Normal,,42.9,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.55,0.52,Normal,,19.2,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.96,0.93,Normal,,40.3,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.00,0.95,Normal,,5.9,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.37,5.35,Normal,,38.4,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.54,1.57,Normal,,13.7,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.64,3.52,Normal,,20.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.76,3.73,Normal,,20.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.57,3.60,Alert,Rising,78.,6,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.67,2.57,Normal,,93.,6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.09,1.10,Normal,,10.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.15,5.09,Alert,Falling,41.5,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.30,1.28,Normal,,50.3,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.75,0.73,Normal,,7.3,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.92,2.92,Normal,,33.2,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,2.72,2.65,Normal,,28.7,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.35,1.32,Normal,,19.3,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,3.00,2.90,Normal,,36.9,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.18,2.08,Normal,,37.1,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.87,2.80,Normal,,33.5,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,2.74,2.62,Normal,,54.2,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,3.40,3.32,Normal,,122.7,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,4.20,4.21,Alert,Rising,26.1,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,5.34,5.35,Alert,Rising,26.1,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,2.73,2.28,Normal,,137.2,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.40,2.40,Normal,,22.2,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.29,1.27,Normal,,76.,0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.67,1.62,Normal,,87.,5,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,3.04,3.15,Normal,,0.2,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.81,0.81,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,4.16,4.16,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.40,1.40,Normal,,34.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.55,4.77,Alert,Rising,36.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.19,4.19,Normal,,12.6,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.33,3.11,Normal,,23.6,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.40,1.40,Normal,,10.7,,
