River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.10,1.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.81,2.78,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.50,10.41,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.74,1.64,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.01,1.00,Normal,,2.8,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.76,0.75,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.99,0.99,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.10,2.09,Normal,,4.7,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.36,7.28,Normal,,26.,3
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.85,2.75,Normal,,1.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.94,2.89,Normal,,2.7,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.45,5.41,Alert,Falling,45.8,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.68,3.65,Alert,Falling,26.,6
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.30,2.29,Normal,,25.,9
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.96,1.96,Minor Flood,,4.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.77,5.76,Alert,Falling,2.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.62,1.60,Normal,,1.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.02,1.01,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,2.90,2.49,Normal,,1.3,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.72,1.68,Normal,,6.4,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.14,1.16,Normal,,9.7,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.18,2.17,Normal,,8.1,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,2.06,2.05,Normal,,13.2,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.20,2.23,Normal,,21.,7
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,2.24,2.27,Normal,,23.,7
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,2.32,2.12,Normal,,30.,9
,,Manampitiya ( Old),m,3.50,5.00,6.00,2.39,3.49,Normal,,14.8,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,3.53,3.63,Normal,,14.8,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.40,-1.35,Normal,,32.,6
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.61,2.75,Normal,,5.1,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.20,1.20,Normal,,1.2,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.32,1.23,Normal,,31.,0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,4.70,4.62,Normal,,7.7,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,1.65,1.63,Normal,,10.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,6.65,6.62,Alert,Falling,9.3,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,2.17,2.17,Normal,,7.2,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.98,1.98,Normal,,3.7,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.08,3.07,Normal,,2.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.85,1.83,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.80,3.72,Alert,Falling,0.0,
