දින්‍ය : 2026-05-31,,,,,
න්‍ගරය,උෂ්ණත්වය(ලස. අංශ්‍ක),,සාලේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,26,90,65,වැසි ස්වල්පයක්
මඩකලපුව,35,27,85,55,සවස 2.00න් පසුව වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
හකාළඹ,31,26,85,70,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ගාල්ල,30,26,95,85,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
යාපනය,32,28,85,75,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මහනුවර,30,23,95,70,වැසි වාර කිහිපයක්
නුවරඑළිය,21,16,95,75,වැසි වාර කිහිපයක්
රත්නපුරය,31,24,95,75,විටින් විට වැසි හහෝ ගිගුරුම් සහිත වැසි ඇති හේ
ිකුණාමලය,34,27,80,55,ප්‍රධ්‍ාන වශහයන් වැසි රහිත
මන්නාරම,32,28,90,75,වැසි ස්වල්පයක්
