பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 6 - 0 2,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,33,26,90,55,சிறிதளவில் மலை வபய்யும்
மட்டக்களப்பு,34,27,80,65,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
வகாழும்பு,32,27,90,75,அவ்வப்பபாது மலை வபய்யும்
காலி,30,26,90,80,அவ்வப்பபாது மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
யாழ்ப்பாணம்,32,28,80,70,பிரதானமாக சீரான வானிலை
கண்டி,31,22,90,65,அவ்வப்பபாது மலை வபய்யும்
நுவவரலியா,22,14,95,75,அவ்வப்பபாது மலை வபய்யும்
இரத்தினபுரி,32,24,95,70,அவ்வப்பபாது மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
திருபகாணமலை,35,27,85,55,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
மன்னார்,32,28,90,75,சிறிதளவில் மலை வபய்யும்
