දින්‍ය : 2026-06-02,,,,,
න්‍ගරය,උෂ්ණත්වය(හස. අංශක),,සාහේක්ෂ ආර්ද්‍රතාවය(%),,කාලගුණය
,උපරිම,අවම,උපරිම,අවම,
අනුරාධ්‍පුරය,33,26,90,55,වැසි ස්වල්පයක්
මඩකලපුව,34,27,80,65,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
වකාළඹ,32,27,90,75,විටින් විට වැසි
ගාල්ල,30,26,90,80,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
යාපනය,32,28,80,70,ප්‍රධ්‍ාන වශවයන් වැසි රහිත
මහනුවර,31,22,90,65,විටින් විට වැසි
නුවරඑළිය,22,14,95,75,විටින් විට වැසි
රත්නපුරය,32,24,95,70,විටින් විට වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති වේ
ිකුණාමලය,35,27,85,55,සවස 2.00න් පසුව වැසි වහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක
මන්නාරම,32,28,90,75,වැසි ස්වල්පයක්
