"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය /jpfjp / Date : 12th July 2021 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS
Division",,,"පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்க
ளின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"මධ්‍යම පලාත
kj;jpa
khfhzk;
Central",1,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Walapane,High Wind,2021.07.10,20,73,,,,,20,,,,,,
,,,,,2021.07.12,9,23,,,,,9,,,,,,
,,,NuwaraEliya,Cutting Failure,2021.07.10,1,4,,,,,1,,,,,,
,,,,,2021.07.12,4,22,,,,,4,,,,,,
,,,,Flash flood,,9,55,,,,,9,,,,,,
,,,,High wind,,7,35,,,,,7,,,,,,
,,,Ambagamuwa,Cutting Failure,2021.07.10,9,51,,,,,9,,,,,,
,,,,Flood,,101,401,,,,,,,,,,,
,,,,Landslide Risk,,11,39,,,,,1,,,,,,
,,,,High Wind,,2,10,,,,,2,,,,,,
,,,,Cutting Failure,2021.07.12,17,68,,,,,15,,,,,,
,,,,High wind,,8,32,,,,,,,,,,,
,,,Kothmale,High Wind,,11,30,,,,,11,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,209,843,0,0,0,0,88,0,0,0,0,0,
,2,"නුවර fz;b
Kandy",Harispaththuwa,High Wind,2021.07.10,3,15,,,,,3,,,,,,
,,,Ganga Ihala Korale,Heavy Rain,,6,26,1,,,,2,,,,,,
,,,Pasbage Korale,Flood,,256,1104,,,,,,,,,,,
,,,Pathadumbara,"High Wind & Heavy
Rain",,1,5,,,,,1,,,,,,
,,,Udunuwara,,,4,16,,,,,4,,,,,,
,,,Hatharaliyadda,,,3,11,,1,,,3,,,,,,
,,,Medadumbara,,,2,10,,,,,2,,,,,,
,,,Thumpane,,,3,15,,,,,3,,,,,,
,,,Pathahewaheta,,,2,9,,,,,2,,,,,,
,,,Gangawata korale,,,4,16,,,,,4,,,,,,
,,,Yatinuwara,,,6,24,,,,,6,,,,,,
,,,Minipe,,,4,19,,,,,4,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,294,1270,1,1,0,0,34,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,503,2113,1,1,0,0,122,0,0,0,0,0,
