River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
08.00 pm","Water
Level at
09:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
09.00 pm",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.70,3.70,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.38,6.34,Normal,,1.8,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,13.47,13.43,Normal,,,15.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.91,1.82,Normal,,,14.5,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.26,2.26,Normal,,38.7,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.42,1.43,Normal,,,13.3,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.27,1.26,Normal,,,17.2,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.14,3.13,Alert,Falling,,6.5,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.63,8.64,Normal,,,14.2,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.86,4.85,Normal,,,11.2,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.09,4.06,Alert,Falling,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.34,7.34,Minor Flood,,,6.8,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.69,3.68,Alert,Falling,0.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.74,2.66,Normal,,,6.2,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.51,1.51,Alert,,0.6,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.02,5.02,Alert,,1.2,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.58,1.61,Normal,,2.2,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.79,0.78,Normal,,,9.5,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.25,1.24,Normal,,0.5,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.59,0.58,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.81,0.80,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.33,1.32,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,0.4,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.82,0.82,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.67,0.70,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.88,-2.88,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.78,2.79,Normal,,,9.6,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.81,1.83,Normal,,,12.1,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.38,0.39,Normal,,0.2,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.72,1.72,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.10,4.22,Normal,,,13.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,4.20,4.14,Normal,,21,,.8,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.27,3.25,Normal,,20,,.8,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.05,5.06,Minor Flood,Rising,29.0,,,
