River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6:00
pm"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.10,2.20,Normal,,-
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,5.82,6.04,Normal,,7.1
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,15.50,15.53,Minor Flood,Rising,24.8
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.89,2.95,Normal,,81.1
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,2.54,2.65,Normal,,61.8
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,3.78,3.61,Normal,,66.7
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,2.09,1.97,Alert,Falling,58.9
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.98,2.03,Normal,,7.8
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.13,8.20,Normal,,38.8
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.80,6.75,Alert,Falling,28.1
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.39,5.46,Alert,Rising,56.2
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.79,5.85,Alert,Rising,16.5
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.46,3.50,Alert,Rising,4.6
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,5.35,5.39,Alert,Rising,33.2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.08,1.20,Normal,,14.3
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.89,5.95,Alert,Rising,33.7
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.15,3.17,Normal,,22.7
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.72,1.67,Normal,,27.9
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.74,0.74,Normal,,10.9
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.08,1.08,Normal,,3.3
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.97,0.97,Normal,,1.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.97,0.99,Normal,,1.2
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.27,0.27,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.55,Normal,,0.5
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.17,0.17,Normal,,0.5
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.2
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.17,0.18,Normal,,0.0
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.94,-2.95,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,6.55,6.20,Alert,Falling,44.5
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,3.20,3.42,Normal,,73.1
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.30,0.47,Normal,,13.1
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.76,1.75,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,1.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.64,0.65,Normal,,31.7
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.44,0.47,Normal,,58.9
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.24,0.24,Normal,,0.5
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.05,2.20,Normal,,16.3
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.45,3.10,Normal,,75.6
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.92,3.00,Normal,,27.8
