River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9:00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.60,2.80,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,6.42,6.55,Alert,Rising,7.1,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,15.57,15.60,Minor Flood,Rising,28.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.86,2.55,Normal,,89.6,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,3.16,3.11,Alert,Falling,63.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,2.81,2.71,Normal,,76.7,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.81,1.72,Alert,Falling,66.8,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.12,2.17,Normal,,7.8,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.37,8.45,Normal,,49.6,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,6.63,6.59,Alert,Falling,43.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.54,5.56,Alert,Rising,74.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.97,6.02,Alert,Rising,16.5,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.59,3.61,Alert,Rising,13.2,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,5.45,5.48,Alert,Rising,41.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.30,1.34,Normal,,20.3,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.09,6.16,Minor Flood,Rising,35.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,3.10,2.97,Normal,,25.2,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.61,1.59,Normal,,29.4,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.75,0.75,Normal,,10.9,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.08,1.08,Normal,,3.3,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.98,0.92,Normal,,1.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.04,1.05,Normal,,2.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.55,Normal,,0.5,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.17,0.16,Normal,,0.5,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.2,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.20,-0.21,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,5.48,5.25,Alert,Falling,46.3,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,3.68,3.40,Normal,,81.9,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.47,0.47,Normal,,15.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.75,1.74,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,3.2,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,31.7,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,60.1,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.24,-0.24,Normal,,1.8,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.06,3.55,Normal,,17.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.68,3.70,Normal,,78.4,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.18,3.26,Normal,,30.5,
